#;bloc;variety;culture;Echantillon;Modality;H_tige_AV;D_collet_AV;Nb_feuilles_AV;poids_frais;poids_sec;Larves;Sample ID;Glucoraphanin;Progoitrin isomer;Glucoalyssin;Gluconapoleiferin;Gluconapin;Butyl-GS;Glucobrassicanapin;Glucobrassicin;Gluconasturtiin;Methoxyglucobrassicin;Neoglucobrassicin;Unknown GLS (C16H20N2O11S2);Total
47;3;2;asso;B;asso 2 B;19.72;13;9;346.9;47.4;10;240108_LM_GLS_colza_sample_47;42.75618375;162.5441696;206.0070671;8.833922261;146.9964664;9.540636042;100.3533569;781.6254417;47.70318021;28.62190813;408.8339223;10.9540636;1954.770318
48;3;2;asso;C;asso 2 C;11.32666667;11.33333333;6;154;21.1;14;240108_LM_GLS_colza_sample_48;38.04537522;169.2844677;198.6038394;11.51832461;127.399651;5.933682373;90.7504363;533.3333333;47.12041885;26.87609075;199.6509599;17.10296684;1465.619546
49;3;3;asso;A;asso 3 A;10.96;13.83333333;7;174.5;28;4;240108_LM_GLS_colza_sample_49;6.653620352;74.36399217;46.9667319;7.82778865;25.44031311;0;26.61448141;281.0176125;22.30919765;19.96086106;488.0626223;4.305283757;1003.522505
50;3;3;asso;B;asso 3 B;14.84666667;14;8.666666667;110;21.5;6;240108_LM_GLS_colza_sample_50;18.97810219;206.9343066;162.7737226;15.32846715;189.7810219;3.649635036;117.5182482;358.0291971;32.11678832;29.5620438;351.0948905;7.299270073;1493.065693
51;3;3;asso;C;asso 3 C;18.01;16.16666667;10.33333333;194.5;32.9;3;240108_LM_GLS_colza_sample_51;32.71221532;233.9544513;232.7122153;14.9068323;227.7432712;4.140786749;121.7391304;557.7639752;36.85300207;36.4389234;726.7080745;7.867494824;2233.540373
52;3;1;asso;A;asso 1 A;12.51666667;13;10;101.2;17.4;1;240108_LM_GLS_colza_sample_52;34.31542461;804.1594454;433.2755633;50.60658579;583.3622184;2.772963605;631.542461;526.169844;74.17677643;20.79722704;410.3986135;6.239168111;3577.816291
53;3;1;asso;B;asso 1 B;12.68666667;12;6.333333333;65.6;17.4;7;240108_LM_GLS_colza_sample_53;28.97384306;511.0663984;244.2655936;29.77867203;275.2515091;1.609657948;274.4466801;428.5714286;36.61971831;15.69416499;557.3440644;2.816901408;2406.438632
54;3;1;asso;C;asso 1 C;11.37;11.66666667;8;66;12;0;240108_LM_GLS_colza_sample_54;29.05027933;730.3538175;375.0465549;54.37616387;428.3054004;3.351955307;624.9534451;694.972067;56.23836127;27.18808194;667.7839851;5.959031657;3697.579143
55;4;3;mono;A;mono 3 A;13.03333333;6.5;7.666666667;57.3;11.5;0;240108_LM_GLS_colza_sample_55;18.0887372;470.9897611;331.7406143;27.30375427;435.1535836;1.023890785;314.334471;233.447099;43.68600683;22.52559727;471.331058;7.167235495;2376.791809
56;4;3;mono;B;mono 3 B;11.82333333;16.5;9.333333333;140.8;25.5;13;240108_LM_GLS_colza_sample_56;21.42857143;324.0601504;237.9699248;19.54887218;306.7669173;5.263157895;162.7819549;258.6466165;49.62406015;34.58646617;989.8496241;6.390977444;2416.917293
57;4;3;mono;C;mono 3 C;15.41666667;9.333333333;9.333333333;93.8;18.1;7;240108_LM_GLS_colza_sample_57;37.94871795;449.9145299;316.5811966;23.93162393;375.042735;1.367521368;227.008547;419.1452991;51.28205128;28.71794872;695.042735;6.495726496;2632.478632
